"","method","variate","design","number","RMSE","k","methodID","rRMSE"
"191","exhaustive_caret_5k","AGB","clusterMedium",91,26.9901418580373,NA,0,0
"192","exhaustive_caret_5k","AGB","clusterMedium",92,26.8243017103829,NA,0,0
"193","exhaustive_caret_5k","AGB","clusterMedium",93,27.6632591141978,NA,0,0
"194","exhaustive_caret_5k","AGB","clusterMedium",94,27.0641647812621,NA,0,0
"195","exhaustive_caret_5k","AGB","clusterMedium",95,27.2386894514551,NA,0,0
"196","exhaustive_caret_5k","AGB","clusterMedium",96,26.4806828222304,NA,0,0
"197","exhaustive_caret_5k","AGB","clusterMedium",97,26.4648922462885,NA,0,0
"198","exhaustive_caret_5k","AGB","clusterMedium",98,27.1971331184599,NA,0,0
"199","exhaustive_caret_5k","AGB","clusterMedium",99,27.2492958636354,NA,0,0
"200","exhaustive_caret_5k","AGB","clusterMedium",100,26.8797545559516,NA,0,0
"201","exhaustive_caret_5k","AGB","clusterStrong",1,30.3597586657953,NA,0,0
"202","exhaustive_caret_5k","AGB","clusterStrong",2,28.1672767037682,NA,0,0
"203","exhaustive_caret_5k","AGB","clusterStrong",3,29.5296788821028,NA,0,0
"204","exhaustive_caret_5k","AGB","clusterStrong",4,29.1301639599591,NA,0,0
"205","exhaustive_caret_5k","AGB","clusterStrong",5,30.3964323316609,NA,0,0
"206","exhaustive_caret_5k","AGB","clusterStrong",6,28.6395639849236,NA,0,0
"207","exhaustive_caret_5k","AGB","clusterStrong",7,29.3968531179641,NA,0,0
"208","exhaustive_caret_5k","AGB","clusterStrong",8,29.0071380883625,NA,0,0
"209","exhaustive_caret_5k","AGB","clusterStrong",9,29.4383402781851,NA,0,0
"210","exhaustive_caret_5k","AGB","clusterStrong",10,29.9244451042897,NA,0,0
"211","exhaustive_caret_5k","AGB","clusterStrong",11,29.587284403094,NA,0,0
"212","exhaustive_caret_5k","AGB","clusterStrong",12,30.2744871982061,NA,0,0
"213","exhaustive_caret_5k","AGB","clusterStrong",13,28.4909510130598,NA,0,0
"214","exhaustive_caret_5k","AGB","clusterStrong",14,28.5725328802581,NA,0,0
"215","exhaustive_caret_5k","AGB","clusterStrong",15,30.0743244136834,NA,0,0
"216","exhaustive_caret_5k","AGB","clusterStrong",16,29.2592587007241,NA,0,0
"217","exhaustive_caret_5k","AGB","clusterStrong",17,29.9937893137903,NA,0,0
"218","exhaustive_caret_5k","AGB","clusterStrong",18,28.7985150753978,NA,0,0
"219","exhaustive_caret_5k","AGB","clusterStrong",19,29.026063867496,NA,0,0
"220","exhaustive_caret_5k","AGB","clusterStrong",20,30.5630067347581,NA,0,0
"221","exhaustive_caret_5k","AGB","clusterStrong",21,28.9842138964114,NA,0,0
"222","exhaustive_caret_5k","AGB","clusterStrong",22,29.4111821808263,NA,0,0
"223","exhaustive_caret_5k","AGB","clusterStrong",23,28.340604306874,NA,0,0
"224","exhaustive_caret_5k","AGB","clusterStrong",24,28.3342461809259,NA,0,0
"225","exhaustive_caret_5k","AGB","clusterStrong",25,27.7346027696132,NA,0,0
"226","exhaustive_caret_5k","AGB","clusterStrong",26,28.2438269169321,NA,0,0
"227","exhaustive_caret_5k","AGB","clusterStrong",27,28.9228662410793,NA,0,0
"228","exhaustive_caret_5k","AGB","clusterStrong",28,29.9241615817179,NA,0,0
"229","exhaustive_caret_5k","AGB","clusterStrong",29,29.2984117210421,NA,0,0
"230","exhaustive_caret_5k","AGB","clusterStrong",30,28.8561170185044,NA,0,0
"231","exhaustive_caret_5k","AGB","clusterStrong",31,28.96949670308,NA,0,0
"232","exhaustive_caret_5k","AGB","clusterStrong",32,28.2749129736421,NA,0,0
"233","exhaustive_caret_5k","AGB","clusterStrong",33,29.9692478476395,NA,0,0
"234","exhaustive_caret_5k","AGB","clusterStrong",34,28.9654321247596,NA,0,0
"235","exhaustive_caret_5k","AGB","clusterStrong",35,29.1290454315334,NA,0,0
"236","exhaustive_caret_5k","AGB","clusterStrong",36,29.7254374106829,NA,0,0
"237","exhaustive_caret_5k","AGB","clusterStrong",37,29.384818847449,NA,0,0
"238","exhaustive_caret_5k","AGB","clusterStrong",38,29.3854880651305,NA,0,0
"239","exhaustive_caret_5k","AGB","clusterStrong",39,28.473196420217,NA,0,0
"240","exhaustive_caret_5k","AGB","clusterStrong",40,28.8398854394299,NA,0,0
"241","exhaustive_caret_5k","AGB","clusterStrong",41,29.6038558266687,NA,0,0
"242","exhaustive_caret_5k","AGB","clusterStrong",42,28.7674543287789,NA,0,0
"243","exhaustive_caret_5k","AGB","clusterStrong",43,29.7514774964888,NA,0,0
"244","exhaustive_caret_5k","AGB","clusterStrong",44,27.5670044834757,NA,0,0
"245","exhaustive_caret_5k","AGB","clusterStrong",45,28.7849177088886,NA,0,0
"246","exhaustive_caret_5k","AGB","clusterStrong",46,28.2260208926742,NA,0,0
"247","exhaustive_caret_5k","AGB","clusterStrong",47,29.4978378015667,NA,0,0
"248","exhaustive_caret_5k","AGB","clusterStrong",48,28.0843957233156,NA,0,0
"249","exhaustive_caret_5k","AGB","clusterStrong",49,30.7886805430236,NA,0,0
"250","exhaustive_caret_5k","AGB","clusterStrong",50,28.4037676382546,NA,0,0
"251","exhaustive_caret_5k","AGB","clusterStrong",51,28.5023927514963,NA,0,0
"252","exhaustive_caret_5k","AGB","clusterStrong",52,29.3553451176039,NA,0,0
"253","exhaustive_caret_5k","AGB","clusterStrong",53,29.9447936703856,NA,0,0
"254","exhaustive_caret_5k","AGB","clusterStrong",54,28.6526918686425,NA,0,0
"255","exhaustive_caret_5k","AGB","clusterStrong",55,30.1445340267518,NA,0,0
