k,dsample,RMSE_surf,MAE_surf,R2_surf,RMSE_knndm,MAE_knndm,R2_knndm,W_knndmCV
14,random,0.09672678233974241,0.07568048764329552,0.8950123075840944,0.09515897808167613,0.07220648318209996,0.8370866738690448,3492.9377383157735
14,wclust,0.10198258956488417,0.07664037303034098,0.8449855266679458,0.14126800580091647,0.10264087558373886,0.6149074958552402,15285.701737630216
14,sclust,0.09855736803060991,0.07666378538590563,0.8345396971251423,0.1666196666213712,0.12434741552720777,0.5667321048589083,22281.648017113854
16,sregular,0.0916661298915807,0.06959749384104608,0.8806470998349419,0.10301217797354925,0.07485266358837557,0.8169420258799455,18472.212766414446
16,wregular,0.09857274218265043,0.07525499541363179,0.8669020392449868,0.08561241868949009,0.06585528037888987,0.8626143421252127,3937.603860206024
16,random,0.08668863995782354,0.06636756861771204,0.8812115025976761,0.09958309852925049,0.0756648153307646,0.8706599968745625,3149.3869533855004
16,wclust,0.1267337694517199,0.08782574589257003,0.7224267330805935,0.09366697397968402,0.0695945098693855,0.868501152476153,15795.59176461692
16,sclust,0.10493753812609873,0.07884343292434598,0.8382378004485277,0.1944126679814499,0.15099937249055445,0.36088234695489607,14650.398685909899
18,sregular,0.07994251909154992,0.0630757450383501,0.9104941987747536,0.10421483933139478,0.07912141872159481,0.8266010218114493,18035.056617630893
18,wregular,0.0969327463546037,0.07491757848506012,0.8853085246368594,0.09536276878565345,0.07307090604115278,0.8036902137946732,5813.39519333751
18,random,0.08671528420762369,0.06599812926319061,0.8956027251311177,0.09762153417443514,0.0736789687227186,0.8546044051926742,4331.415492545273
18,wclust,0.10162436062414554,0.07795557134769372,0.8415895542872391,0.11880347938331172,0.08799216777570856,0.7504942046067973,12888.858868343723
18,sclust,0.14406056460274763,0.11062141367770371,0.6766008120668358,0.10831946796445338,0.07281723089208207,0.6466729925659378,58934.42396864509
20,sregular,0.0879204336409713,0.06771890973510104,0.8817332345903605,0.09579341915375485,0.07381881208498652,0.856870461474887,15439.12344980801
20,wregular,0.08538788787293401,0.061848812419481515,0.8856671894849791,0.09569184592608089,0.07442244483336266,0.8724042991201688,7120.737456982384
20,random,0.09296010347665319,0.07252190048511797,0.8690878671059848,0.09725285078892382,0.07290802551055947,0.8120596347231991,2410.7055652429485
20,wclust,0.12326755042090194,0.08408763517759378,0.783097683608829,0.11604800186073042,0.08845197845605357,0.7405895711988127,24742.3128447057
20,sclust,0.14939067897263367,0.10492213492235566,0.6341264951570014,0.10492754412442411,0.07633291787721219,0.7240824728211009,30382.30541024904
2,sregular,0.08389705474166548,0.06289469127617976,0.8977573878999368,0.11376077645271698,0.08430446209151943,0.7625635199163893,29339.014101621975
